DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
NG201800000001,NGGE7AFL,NG,2018.0,1.0,NG2018DHS,72386.875,82659.9140625,94469.6484375,117.57500457763672,101.58333587646484,108.48333740234375,98.95833587646484,28.97125244140625,25.663158416748047,25.984031677246094,23.75,0.2494017861106179,0.30246634916825726,0.678926641290838,31.034000396728516,30.08818244934082,31.219091415405273,30.8700008392334,11.366666793823242,10.541666984558105,10.741666793823242,10.941666603088379,2.0,2008,2101,2023,2120,2232,2182,2164,0.0,0.0,0.0,0.0,64.13333333333334,1567.7642822265625,-807,2.287972927093506,0.0,0.08635705415206837,0.08393682482453843,26.338363647460938,26.10992431640625,26.73272705078125,26.520000457763672,1.1493492126464844,175.55859375,-1.0,4.168976593017578,44.929833984375,0.9713354110717773,0.33258697390556335,0.37819164991378784,0.2791289985179901,0.24165087938308716,0.27563849091529846,0.3251027464866638,0.20592689514160156,0.17707112431526184,33.17499923706055,33.40833282470703,33.875,33.47500228881836,27.483333587646484,28.108333587646484,28.483333587646484,27.983333587646484,21.808334350585938,22.866666793823242,23.133333206176758,22.533334732055664,6.299891737640881,21.64272689819336,22.13166618347168,22.246362686157227,22.170000076293945,4.058333396911621,3.9583334922790527,4.175000190734863,4.1666669845581055,173212.59615384616,7858.621448863636,2807.1953125,1175,1219,1240,1409,1131,1289,1156,0.133377742767334,3.0,3.0,3.0,29.927000045776367,26.18600082397461,25.909000396728516,29.099000930786133,26.93000030517578,26.43899917602539,26.990999221801758,30.43199920654297,28.295000076293945,26.875999450683594,26.888999938964844,26.410999298095703,4.933333333333334,0.0,707.1262817382812,803.4298095703125,917.4513549804688,1048.529052734375,4202.693359375,4739.0146484375,5365.89892578125,6073.69921875,328.9195963541667,370.89427083333334,419.95677083333334,475.35205078125,6.892499923706055,6.698333263397217,7.0833330154418945,6.446666240692139
NG201800000002,NGGE7AFL,NG,2018.0,2.0,NG2018DHS,47121.5,53808.91796875,61496.66796875,117.57500457763672,101.58333587646484,108.48333740234375,98.95833587646484,28.97125244140625,25.663158416748047,25.984031677246094,23.75,0.21612053651076096,0.2547426957350511,0.5835489126352164,30.899999618530273,30.736665725708008,30.668333053588867,30.531818389892578,11.366666793823242,10.541666984558105,10.741666793823242,10.941666603088379,2.0,2026,2099,2022,2229,2364,2335,2189,0.0,0.0,0.0,0.0,67.93333333333334,1567.7642822265625,-807.0,2.287972927093506,0.0,0.14029547842221493,0.18492296838520067,25.98227310180664,26.21500015258789,26.304166793823242,26.051742553710938,1.6806139628092447,312.30755208333335,-1.0,7.397292073567709,67.29862874348959,1.529904047648112,0.38829490542411804,0.4296463429927826,0.3257318437099457,0.2760702073574066,0.3420839011669159,0.38893797993659973,0.25483471155166626,0.21202030777931213,33.17499923706055,33.40833282470703,33.875,33.47500228881836,27.483333587646484,28.108333587646484,28.483333587646484,27.983333587646484,21.808334350585938,22.866666793823242,23.133333206176758,22.533334732055664,5.095125834147136,21.064544677734375,21.69333267211914,21.940000534057617,21.571666717529297,4.058333396911621,3.9583334922790527,4.175000190734863,4.1666669845581055,169176.375,5876.653846153846,2062.314002403846,1167,1210,1227,1420,1129,1275,1135,0.20576194127400715,3.0,3.0,3.0,29.927000045776367,26.18600082397461,25.909000396728516,29.099000930786133,26.93000030517578,26.43899917602539,26.990999221801758,30.43199920654297,28.295000076293945,26.875999450683594,26.888999938964844,26.410999298095703,4.0,0.13333333333333333,468.01136997767856,531.749755859375,607.2149832589286,693.9686104910714,3705.333984375,4178.1865234375,4730.8828125,5354.919921875,328.9195963541667,370.89427083333334,419.95677083333334,475.35205078125,6.892499923706055,6.698333263397217,7.0833330154418945,6.446666240692139
NG201800000003,NGGE7AFL,NG,2018.0,3.0,NG2018DHS,44107.9375,50367.6796875,57563.78125,136.35833740234375,117.94166564941406,131.35833740234375,115.30000305175781,36.52455520629883,32.31278610229492,33.82617950439453,29.69098663330078,0.2297382354736328,0.28047445842197966,0.3401979718889509,32.101112365722656,30.851999282836914,33.01599884033203,33.01444625854492,10.991666793823242,10.066666603088379,10.291666984558105,10.558333396911621,-9999,2799,2767,2778,2983,3148,3142,3208,0.0,0.0,0.0,0.0,56.2,1567.7642822265625,-807,0.0,0.0,0.22464301242267787,0.24339318536174998,26.35855484008789,26.621000289916992,27.751333236694336,27.731388092041016,1.425964609781901,203.375341796875,-1.0,6.452243041992188,163.2265625,1.5788691202799479,0.4446285367012024,0.4969315528869629,0.40675821900367737,0.30614179372787476,0.4135211110115051,0.48254719376564026,0.34491515159606934,0.24557502567768097,32.43333435058594,32.516666412353516,32.95000076293945,32.69166564941406,26.90833282470703,27.45833396911621,27.783334732055664,27.391666412353516,21.441667556762695,22.450000762939453,22.65833282470703,22.133333206176758,2.8131855931775323,20.615999221801758,22.389999389648438,22.486665725708008,22.448333740234375,3.7333333492279053,3.6500000953674316,3.883333444595337,3.883333444595337,105525.91964285714,2823.2838541666665,50810.14772727273,1296,1555,1582,1547,1321,1433,1204,1.579482905069987,3.0,3.0,3.0,29.110000610351562,25.45199966430664,26.048999786376953,28.427000045776367,26.724000930786133,25.652000427246094,26.3489990234375,29.520000457763672,27.625,26.641000747680664,26.327999114990234,25.683000564575195,6.2,2.2,507.71044921875,576.8555385044643,658.7220982142857,752.8346819196429,2113.674560546875,2383.405029296875,2698.6806640625,3054.65771484375,165.10149739583332,186.17044270833333,210.79697265625,238.60275065104167,8.38499927520752,8.337499618530273,8.760000228881836,8.199166297912598
NG201800000004,NGGE7AFL,NG,2018.0,4.0,NG2018DHS,21510.29296875,24563.001953125,28072.353515625,135.35833740234375,115.91666412353516,129.1750030517578,113.90833282470703,35.77753448486328,31.399547576904297,33.192718505859375,29.207265853881836,0.07852013544602827,0.10065471042286266,0.20505666732788086,31.31399917602539,31.073333740234375,31.829999923706055,32.29888916015625,10.841667175292969,9.858333587646484,10.166666984558105,10.40000057220459,-9999,2897,2833,2861,3144,3372,3403,3425,0.0,0.0,0.0,0.0,62.785714285714285,1567.7642822265625,-807,0.0,0.0,0.2195555693495522,0.38862388479793963,26.201091766357422,26.44416618347168,26.724166870117188,27.26644515991211,1.344644001552037,194.69536481584822,-1.0,5.096836090087891,9.443119594029017,1.3009189878191267,0.4654744267463684,0.5300593972206116,0.4947741627693176,0.34977367520332336,0.4439370930194855,0.5179523825645447,0.45353367924690247,0.29166921973228455,32.47500228881836,32.474998474121094,32.91666793823242,32.70833206176758,27.024999618530273,27.524999618530273,27.808334350585938,27.483333587646484,21.633333206176758,22.616666793823242,22.75,22.308334350585938,3.3444119157462286,21.08818244934082,21.815000534057617,21.61833381652832,22.233999252319336,3.7833333015441895,3.691666603088379,3.891666889190674,3.9000000953674316,162021.38461538462,2332.201923076923,67304.99479166667,1278,1345,1438,1380,1217,1400,1270,0.006816071059022631,3.0,3.0,1.0,29.04800033569336,25.23200035095215,26.197999954223633,28.393999099731445,26.841999053955078,25.31399917602539,26.066999435424805,29.392000198364258,27.424999237060547,26.604999542236328,26.019001007080078,25.510000228881836,130.42857142857142,1.3571428571428572,352.68467494419644,400.7167271205357,457.5860072544643,522.9618791852679,2097.006103515625,2364.61474609375,2677.41162109375,3030.579833984375,175.44625418526786,197.83576311383928,224.00596400669642,253.55379813058036,8.15333366394043,8.029999732971191,8.40999984741211,7.852499485015869
NG201800000005,NGGE7AFL,NG,2018.0,5.0,NG2018DHS,5447.48486328125,6220.5849609375,7109.32861328125,153.2083282470703,132.06666564941406,146.53334045410156,127.80000305175781,43.15727615356445,38.00479507446289,39.873016357421875,34.462921142578125,0.0006698023062199354,0.0006698023062199354,0.0015045646578073502,30.379091262817383,31.058000564575195,30.975454330444336,30.309999465942383,10.65000057220459,9.941666603088379,9.741666793823242,10.158333778381348,-9999,2848,2801,2727,3093,3374,3497,3502,0.0,0.0,0.0,0.0,28.0,1633.304931640625,5,0.0,0.0,0.24716016688798706,0.4078244976480456,25.298545837402344,26.340665817260742,26.37818145751953,26.027000427246094,1.0074257169451033,352.73793247767856,-1.0,4.23895263671875,8.789441789899554,0.7901953288487026,0.5199452638626099,0.573854923248291,0.5392301082611084,0.3943442404270172,0.5328235626220703,0.5947991013526917,0.5216220617294312,0.3518158495426178,32.266666412353516,32.31666564941406,32.46666717529297,32.40833282470703,26.916667938232422,27.316667556762695,27.575000762939453,27.308334350585938,21.616666793823242,22.375,22.725000381469727,22.25,0.37250541818553,20.218000411987305,21.623332977294922,21.780908584594727,21.743999481201172,3.5500001907348633,3.4749999046325684,3.674999952316284,3.7083334922790527,117821.67857142857,26371.97355769231,95096.67708333333,1506.0,1801.0,1864.0,1647.0,1458.0,1634.0,1411.0,0.0891949108668736,0.0,0.0,0.0,28.869998931884766,25.3439998626709,26.673999786376953,28.485000610351562,27.18600082397461,25.472999572753906,26.21000099182129,29.246000289916992,27.428998947143555,26.886999130249023,26.201000213623047,25.680999755859375,130.07142857142858,8.571428571428571,92.56294468470982,105.16908482142857,120.09455217633929,137.25261579241072,1614.78271484375,1820.8505859375,2061.71435546875,2333.6728515625,135.00486537388392,152.23329380580358,172.370849609375,195.10811941964286,9.385000228881836,9.31916618347168,9.6875,9.210000038146973
NG201800000006,NGGE7AFL,NG,2018.0,6.0,NG2018DHS,39742.54296875,45382.75,51866.64453125,121.26667022705078,117.0,115.1500015258789,102.7249984741211,30.635787963867188,30.25861930847168,28.727651596069336,25.208589553833008,0.0018279046382544176,0.002833994492044989,0.004039011661361599,30.31316630045573,30.7611083984375,31.190516153971355,30.709635416666668,10.975000381469727,10.100000381469727,10.433333396911621,10.508333206176758,2.0,3202.4166666666665,3149.25,3149.5833333333335,3320.5833333333335,3470.0833333333335,3466.75,3533.0833333333335,0.0,0.0,0.0,0.0,27.013333333333332,1619.6378348214287,4.0,3.5272998809814453,0.0,0.16752542455356798,0.33008282853399656,25.63317362467448,26.485829671223957,26.513104756673176,26.270609537760418,1.6602757091828209,223.96841577540107,-1.0,5.066628522413938,20.408208347259357,1.5566021108372325,0.4827254159109933,0.5319955008370536,0.4903488499777658,0.3726404735020229,0.4634463446480887,0.5240271432059151,0.45081520080566406,0.31680502210344585,32.75,32.84166717529297,33.31666564941406,33.025001525878906,27.25,27.758333206176758,28.075000762939453,27.75,21.774999618530273,22.741666793823242,22.883333206176758,22.516666412353516,0.0,20.95318094889323,22.210556030273438,21.835693359375,21.831578572591145,3.9583334922790527,3.866666793823242,4.008333206176758,4.075000286102295,222215.97427652733,10300.705555555556,16005.303797468354,1257.4166666666667,1286.3333333333333,1265.4166666666667,1352.0,1187.0833333333333,1349.5833333333333,1200.8333333333333,0.17334849311706216,0.0,0.0,0.0,29.611000061035156,25.431499481201172,25.996749877929688,28.584999084472656,26.56049919128418,25.72425079345703,26.388750076293945,29.937999725341797,27.775999069213867,26.7502498626709,26.286998748779297,25.652000427246094,198.16844919786095,72.92245989304813,16.34549197635135,18.571584670608107,21.207237119932433,24.237143686655404,26210.498046875,29555.087890625,33464.8359375,37878.9609375,82.19954253008021,92.68861756350267,104.9500960895722,118.79336564171123,7.430832862854004,7.524999618530273,7.612499713897705,6.981666564941406
NG201800000007,NGGE7AFL,NG,2018.0,7.0,NG2018DHS,33924.2265625,38738.703125,44273.359375,121.26667022705078,117.0,115.1500015258789,102.7249984741211,30.635787963867188,30.25861930847168,28.727651596069336,25.208589553833008,0.0014295303483114633,0.0020241553098997484,0.0026078643482942312,30.274029541015626,30.3538330078125,30.531906127929688,30.1651611328125,10.975000381469727,10.100000381469727,10.433333396911621,10.508333206176758,2.0,3103.1,3054.4,3039.1,3328.1,3579.7,3553.0,3640.5,0.0,0.0,0.0,0.0,24.863387978142075,1628.2834635416666,5.0,0.0,0.0,0.16069222453746632,0.3423637625999421,25.245196533203124,25.917913818359374,25.974203491210936,25.592999267578126,1.4987874682483777,218.0899718237705,-1.0,4.262870413358094,17.82836247011612,1.3621002364028347,0.4653541360582624,0.5165949208395821,0.4906372683388846,0.3612986292157854,0.4402775083269392,0.49583373750959125,0.4483675956726074,0.30434111186436247,32.75,32.84166717529297,33.31666564941406,33.025001525878906,27.25,27.758333206176758,28.075000762939453,27.75,21.774999618530273,22.741666793823242,22.883333206176758,22.516666412353516,0.0,20.216363525390626,21.482000732421874,21.416500854492188,21.020834350585936,3.9583334922790527,3.866666793823242,4.008333206176758,4.075000286102295,215543.36102236423,29400.31111111111,41663.10476190476,1349.0,1329.4545454545455,1343.0,1431.5454545454545,1183.090909090909,1366.3636363636363,1247.7272727272727,0.06847643200817004,0.0,0.0,0.0,28.88574981689453,24.903499603271484,25.70549964904785,28.04924964904785,26.232999801635742,25.09149932861328,25.79050064086914,29.231000900268555,27.185749053955078,26.316001892089844,25.774999618530273,25.12725067138672,190.63661202185793,52.756830601092894,15.031599339430894,17.078753546324524,19.502545943428185,22.288903709349594,30480.890625,34369.8828125,38915.6796875,44048.15625,97.63302595628416,110.08981173155738,124.650390625,141.09018528005464,7.430832862854004,7.524999618530273,7.612499713897705,6.981666564941406
NG201800000008,NGGE7AFL,NG,2018.0,8.0,NG2018DHS,57005.56640625,65095.71484375,74396.03125,119.61666870117188,101.95000457763672,114.35833740234375,101.875,29.595876693725586,25.919490814208984,27.667339324951172,24.696969985961914,0.0010719414895925766,0.002400978826559507,0.008008541204990486,30.99585876464844,30.19310607910156,31.49990234375,31.640484619140626,11.158333778381348,10.366666793823242,10.600000381469727,10.691666603088379,2.0,3065.9,2984.7,3015.3,3233.0,3464.0,3605.7,3611.1,0.0,0.0,0.0,0.0,23.079019073569484,1567.7642299107142,5.0,0.0,0.0,0.17700452894860458,0.3266834513922737,25.85919189453125,26.047470092773438,26.256002807617186,26.45631103515625,1.110733240111972,209.24310286103542,-1.0,3.0264855990292916,10.321017647309265,0.9108292998020265,0.4733573709215437,0.5403497219085693,0.502213886805943,0.3709463732583182,0.4532046318054199,0.5421337400163923,0.4681081090654646,0.31568428448268343,32.958335876464844,33.116668701171875,33.625,33.20000076293945,27.358333587646484,27.91666603088379,28.291667938232422,27.825000762939453,21.799999237060547,22.75,23.024999618530273,22.508333206176758,0.03614198367869846,20.722528076171876,21.901832580566406,21.012106323242186,21.272135925292968,4.0416669845581055,3.933333396911621,4.133333206176758,4.125,185399.06329113923,9119.450636942674,27368.089743589742,1190.9166666666667,1334.8333333333333,1403.5833333333333,1404.8333333333333,1136.8333333333333,1330.1666666666667,1220.25,0.12643546954162763,0.0,0.0,0.0,29.582000732421875,25.439498901367188,25.897998809814453,28.822999954223633,26.938499450683594,25.627498626708984,26.337499618530273,30.02400016784668,27.784000396728516,26.54800033569336,26.14350128173828,25.632999420166016,208.06539509536785,17.852861035422343,24.774390562332886,28.148413999832886,32.14319696273396,36.7355395638369,27179.625,30647.9765625,34702.2578125,39279.58984375,86.87158336171662,97.95714833106267,110.91542489782016,125.54553388964578,7.046666622161865,6.805833339691162,7.194999694824219,6.609166622161865
NG201800000009,NGGE7AFL,NG,2018.0,9.0,NG2018DHS,285594.8125,326126.0625,372720.125,117.57500457763672,101.58333587646484,108.48333740234375,98.95833587646484,28.97125244140625,25.663158416748047,25.984031677246094,23.75,0.04419231720459767,0.05274359996502216,0.12326333461663662,31.02112731933594,30.635684204101562,31.95546875,30.946405029296876,11.366666793823242,10.541666984558105,10.741666793823242,10.941666603088379,2.0,2704.2,2663.9,2666.6,2864.1,3059.2,3115.1,3105.4,0.0,0.0,0.0,0.0,42.81029810298103,1567.7642299107142,-807.0,1.1439932584762573,0.0,0.16614513093449007,0.2509008475000853,25.903109741210937,26.26484375,26.86661376953125,26.385882568359374,1.2424670377074865,215.83176659891598,-0.8888888888888888,4.3971463335238825,27.733374618902438,1.089502019287771,0.45368629693984985,0.5004522204399109,0.4299597144126892,0.348812073469162,0.4438907206058502,0.504396915435791,0.38720396161079407,0.29774829745292664,33.17499923706055,33.40833282470703,33.875,33.47500228881836,27.483333587646484,28.108333587646484,28.483333587646484,27.983333587646484,21.808334350585938,22.866666793823242,23.133333206176758,22.533334732055664,1.3080172885781671,20.78509063720703,21.89399871826172,21.777757263183595,21.825363159179688,4.058333396911621,3.9583334922790527,4.175000190734863,4.1666669845581055,171359.61538461538,11987.037066246057,6019.262419871795,1154.7272727272727,1235.909090909091,1289.6363636363637,1400.3636363636363,1115.090909090909,1295.7272727272727,1168.7272727272727,0.15342239958807058,0.0,0.0,0.0,29.79625129699707,25.876750946044922,25.747501373291016,29.028749465942383,26.881000518798828,26.1094970703125,26.716751098632812,30.33824920654297,28.062999725341797,26.600500106811523,26.541250228881836,26.10999870300293,46.32520325203252,10.926829268292684,125.31571440735695,142.38246125681198,162.58917319482288,185.81852435286103,97617.7890625,110075.1875,124636.09375,141076.46875,328.9195884146341,370.8943089430894,419.956766598916,475.35204945799455,6.892499923706055,6.698333263397217,7.0833330154418945,6.446666240692139
NG201800000010,NGGE7AFL,NG,2018.0,10.0,NG2018DHS,50895.828125,58118.89453125,66422.4140625,117.57500457763672,101.58333587646484,108.48333740234375,98.95833587646484,28.97125244140625,25.663158416748047,25.984031677246094,23.75,0.0005745672935191013,0.0012136696829028687,0.004228648703181029,31.007334391276043,31.50140380859375,32.56775580512153,32.22822740342882,11.366666793823242,10.541666984558105,10.741666793823242,10.941666603088379,2.0,2921.222222222222,2896.5555555555557,2921.222222222222,3151.1111111111113,3278.4444444444443,3324.8888888888887,3318.222222222222,0.0,0.0,0.0,0.0,36.72994652406417,1567.7642822265625,4.0,0.0,0.0,0.17265447554669075,0.2545402571353935,25.818464491102432,26.55829366048177,27.008744981553818,26.951707628038193,1.5765273150275736,237.67467413101605,-1.0,4.972088982077206,29.935384984959892,1.4452098499644885,0.49064741815839497,0.5227911472320557,0.43670170647757395,0.36692047119140625,0.4869749205453055,0.526639563696725,0.3870507649012974,0.31288078853062223,33.17499923706055,33.40833282470703,33.875,33.47500228881836,27.483333587646484,28.108333587646484,28.483333587646484,27.983333587646484,21.808334350585938,22.866666793823242,23.133333206176758,22.533334732055664,0.14213933951141544,20.629594590928818,21.615185207790798,21.449730767144096,21.675186157226562,4.058333396911621,3.9583334922790527,4.175000190734863,4.1666669845581055,175429.8785942492,4264.418650793651,11023.881329113925,1149.1,1242.5,1228.1,1416.2,1098.9,1290.2,1188.4,0.2155237044880097,0.0,0.0,0.0,29.872499465942383,25.94999885559082,25.829500198364258,29.030750274658203,26.850250244140625,26.176250457763672,26.82200050354004,30.400501251220703,28.19900131225586,26.763748168945312,26.704500198364258,26.17074966430664,93.66042780748663,20.040106951871657,24.178995988175675,27.47193306587838,31.37071368243243,35.85269214527027,56103.79296875,63263.359375,71632.0,81080.6875,175.95450367647058,198.40854779411765,224.6545370989305,254.287809157754,6.892499923706055,6.698333263397217,7.0833330154418945,6.446666240692139
