country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,49.1,49.2,49.3,49.4,49.4,49.4,49.3,49.2,49.1,49.1,49,49.2,49.3,49.5,49.7,49.8,49.7,49.5,49.3,49.2,49,49.1,49.3,49.5,49.6,49.9,50,50.2,50.4,50.5
Angola,78.5,78.5,78.5,78.7,78.6,78.5,78.4,78.3,78.3,78.2,78.1,78,77.9,77.9,77.8,77.7,77.7,77.7,77.7,77.8,77.8,78,78,78.1,78.1,78.1,78.1,78.1,78,77.9
Albania,70.6,74.2,74.9,73.6,72.4,70.7,69.8,71.3,70.5,69.3,68.6,67.6,67,66,65.1,64.2,63.5,62.9,62.3,62.2,62.1,68.2,64.4,60.5,61.2,64.3,65.4,65.8,68.3,69.6
UAE,73.8,74.1,74.5,75.1,75.6,76,75.6,75.4,75.7,76.2,76.9,76.3,76.3,76.8,77.8,79.2,79.5,80.6,81.9,83.2,84.3,84.1,83.8,83.5,83.5,83.7,83.2,83,82.8,82.8
Argentina,67,67.4,67.6,67.9,68.1,67.8,68.1,68.6,69,68.9,69,68.8,68.3,68.9,69.5,68.9,69.3,68.6,68,68.3,67.7,68,68,67.8,67,67.5,67.9,68.2,69.2,69.4
Armenia,61.8,62,62.2,62.3,62.3,62.2,62,61.7,61.4,61.1,60.9,60.8,60.7,60.7,60.8,60.9,61,61.1,61,62,64.8,66.2,66.6,66.9,66.2,65.5,64.3,64.1,61.6,61.5
Australia,73.6,73,72.9,72.7,73.3,74,74.1,73.7,73.7,73.5,74,74.2,74.3,74.6,74.5,75.5,75.8,76.2,76.5,76.4,76.5,76.7,76.4,76.4,76.3,77,77,77.5,78.1,78.5
Austria,67.7,68.2,69.2,69.5,70.9,71.5,71.1,70.8,71.1,71.3,71.1,70.5,71.8,71.8,69.7,71.3,71.9,73,73.6,74.2,74.4,74.8,75.3,75.6,75.4,75.5,76.2,76.3,76.6,76.9
Azerbaijan,77.4,77.7,80,82.6,84.6,85.5,85.4,84.9,84.2,83.6,82.8,80.8,79,77.1,75.5,74.1,72.6,71.6,70.2,69.9,69.4,68.7,69,69.3,69.9,70.3,71.2,71.7,72.2,72
Burundi,91.4,91,90.4,89.8,89.1,88.4,87.7,86.8,86,85.2,84.4,83.7,83,82.3,81.7,81.1,80.7,80.2,79.9,79.6,79.4,79.3,79.1,79,78.9,79.3,79.6,79.8,79.9,80
Belgium,58.8,60.1,60.5,60.8,61.7,62.2,62.3,62.6,63.2,64.6,65.2,63.5,63.9,64,65.1,66.7,66.5,67.2,67.2,66.9,67.7,66.6,66.8,67.4,67.7,67.7,67.7,68.1,68.6,69.1
