DHSID,DHSYEAR,DHSCLUST,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
KE202200000001,2022,1,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,10114.10449,12902.87207,14547.60059,14048.95605,16339.74805,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
KE202200000002,2022,2,3469.023438,3947.317383,4503.337402,5142.294434,6372.564453,16.33247757,12.90922356,12.76463699,22.67635155,22.43185806,31.26387596,31.49679375,31.58841515,31.31821823,31.75845528,8.458420753,8.471412659,7.916507244,8.015118599,7.686545372,2,19.24582863,0.249666288,0.237955734,0.217536286,0.22864832,0.219230384,0,0,0,0,0,82.904953,7,0.16053772,0.041447904,0.183890358,0.495699614,0.612244725,0.711957455,26.6457634,27.08169556,27.29197311,27.20505333,27.498703,19.16569328,263.1741638,19.57205391,0.205268979,5.217429161,0.214918196,0.129444242,0.103811562,0.086586766,0.059225049,0.181889281,0.082625784,0.061288804,0.050163742,0.034637116,30.58269691,30.99084282,30.77641869,30.98612595,30.75711823,26.32868958,26.73276901,26.79343224,26.95850754,26.88534546,22.12427711,22.51943016,22.85991096,22.9710083,23.07057381,9.607803345,22.02765274,22.66659737,22.99553108,23.09188652,23.23894882,4.302835941,4.393706799,4.271990776,4.217274189,4.221137047,70.27597046,56.71934509,54.53041077,95.63239288,94.68795013,1286.705444,904.4876709,1155.387085,1741.574341,1820.578247,27.06973457,27.39818192,28.02585793,27.33149529,25.86699867,24.84211159,23.94262695,24.05658722,24.70781898,25.76336861,26.58703423,26.9950695,0.026642628,12253.49609,16219.29004,18222.55664,17858.32031,20266.22852,93208.21875,105883.3906,119926.5547,135033.0313,149648.2031,5393.305176,6126.728516,6939.307617,7813.413574,8659.09082,9.874056816,8.705164909,8.928520203,11.57973385,11.71496201
KE202200000003,2022,3,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,10114.10449,12902.87207,14547.60059,14048.95605,16339.74805,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
KE202200000004,2022,4,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,10114.10449,12902.87207,14547.60059,14048.95605,16339.74805,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
KE202200000005,2022,5,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,10114.10449,12902.87207,14547.60059,14048.95605,16339.74805,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
KE202200000006,2022,6,3469.023438,3947.317383,4503.337402,5142.294434,6372.564453,16.33247757,12.90922356,12.76463699,22.67635155,22.43185806,31.26387596,31.49679375,31.58841515,31.31821823,31.75845528,8.458420753,8.471412659,7.916507244,8.015118599,7.686545372,2,19.24582863,0.249666288,0.237955734,0.217536286,0.22864832,0.219230384,0,0,0,0,0,82.904953,7,0.16053772,0.041447904,0.183890358,0.495699614,0.612244725,0.711957455,26.6457634,27.08169556,27.29197311,27.20505333,27.498703,19.16569328,263.1741638,19.57205391,0.205268979,5.217429161,0.214918196,0.129444242,0.103811562,0.086586766,0.059225049,0.181889281,0.082625784,0.061288804,0.050163742,0.034637116,30.58269691,30.99084282,30.77641869,30.98612595,30.75711823,26.32868958,26.73276901,26.79343224,26.95850754,26.88534546,22.12427711,22.51943016,22.85991096,22.9710083,23.07057381,9.607803345,22.02765274,22.66659737,22.99553108,23.09188652,23.23894882,4.302835941,4.393706799,4.271990776,4.217274189,4.221137047,70.27597046,56.71934509,54.53041077,95.63239288,94.68795013,1286.705444,904.4876709,1155.387085,1741.574341,1820.578247,27.06973457,27.39818192,28.02585793,27.33149529,25.86699867,24.84211159,23.94262695,24.05658722,24.70781898,25.76336861,26.58703423,26.9950695,0.026642628,12253.49609,16219.29004,18222.55664,17858.32031,20266.22852,93208.21875,105883.3906,119926.5547,135033.0313,149648.2031,5393.305176,6126.728516,6939.307617,7813.413574,8659.09082,9.874056816,8.705164909,8.928520203,11.57973385,11.71496201
KE202200000007,2022,7,3469.023438,3947.317383,4503.337402,5142.294434,6372.564453,16.33247757,12.90922356,12.76463699,22.67635155,22.43185806,31.26387596,31.49679375,31.58841515,31.31821823,31.75845528,8.458420753,8.471412659,7.916507244,8.015118599,7.686545372,2,19.24582863,0.249666288,0.237955734,0.217536286,0.22864832,0.219230384,0,0,0,0,0,82.904953,7,0.16053772,0.041447904,0.183890358,0.495699614,0.612244725,0.711957455,26.6457634,27.08169556,27.29197311,27.20505333,27.498703,19.16569328,263.1741638,19.57205391,0.205268979,5.217429161,0.214918196,0.129444242,0.103811562,0.086586766,0.059225049,0.181889281,0.082625784,0.061288804,0.050163742,0.034637116,30.58269691,30.99084282,30.77641869,30.98612595,30.75711823,26.32868958,26.73276901,26.79343224,26.95850754,26.88534546,22.12427711,22.51943016,22.85991096,22.9710083,23.07057381,9.607803345,22.02765274,22.66659737,22.99553108,23.09188652,23.23894882,4.302835941,4.393706799,4.271990776,4.217274189,4.221137047,70.27597046,56.71934509,54.53041077,95.63239288,94.68795013,1286.705444,904.4876709,1155.387085,1741.574341,1820.578247,27.06973457,27.39818192,28.02585793,27.33149529,25.86699867,24.84211159,23.94262695,24.05658722,24.70781898,25.76336861,26.58703423,26.9950695,0.026642628,12253.49609,16219.29004,18222.55664,17858.32031,20266.22852,93208.21875,105883.3906,119926.5547,135033.0313,149648.2031,5393.305176,6126.728516,6939.307617,7813.413574,8659.09082,9.874056816,8.705164909,8.928520203,11.57973385,11.71496201
KE202200000008,2022,8,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,10114.10449,12902.87207,14547.60059,14048.95605,16339.74805,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
KE202200000009,2022,9,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,4351.655762,5587.089844,6430.897949,6172.850586,7275.104492,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
KE202200000010,2022,10,4735.723145,5388.664063,6147.712402,7019.981445,7510.726563,16.1200676,12.73453617,12.64077568,22.46665573,22.26482391,31.16570663,31.48354149,31.66978073,31.5212841,32.11730576,8.500954628,8.513310432,7.958665848,8.057971954,7.724218845,2,44.18716812,0.278627455,0.270925343,0.264384389,0.263979346,0.265115499,0,0,0,0,0,78.31398773,7,0.165402502,0.039555296,0.177584976,0.484495223,0.609890342,0.706643701,26.59361649,27.05195045,27.3325119,27.28465271,27.71579742,9.7261343,239.3161316,5.969657898,0.401879817,1.528909683,0.240693718,0.156557307,0.119888104,0.099819548,0.065637298,0.219042256,0.108618759,0.073847592,0.059838392,0.039282881,30.57285881,30.98120689,30.76351357,30.97377014,30.74010468,26.29752731,26.70143318,26.75969315,26.9241333,26.84989929,22.07190514,22.46789742,22.80484772,22.91580009,23.01588631,13.89301491,22.02152824,22.62035942,22.99524307,23.04802132,23.314291,4.301331043,4.393967152,4.269676208,4.216406345,4.217230797,69.33774567,55.95513535,53.9720192,94.72854614,93.89590454,1282.404541,875.2572632,1161.016602,1703.136597,1787.232422,26.93682289,27.28167915,27.98585701,27.27860451,25.79119301,24.83161926,23.92409706,24.04490471,24.63026047,25.68541145,26.55634308,26.98510551,0.513020813,10114.10449,12902.87207,14547.60059,14048.95605,16339.74805,76980.30469,87448.67188,99046.875,111523.25,123593.8672,3601.606201,4091.379883,4634.01416,5217.734863,5782.47168,9.908096313,8.749035835,8.979206085,11.63575172,11.7818079
